iter	Passed	Remaining
451	106670	11327
452	106861	11087
453	107057	10847
454	107252	10607
455	107460	10368
456	107707	10134
457	108086	9911
458	108430	9685
459	108652	9448
460	108871	9210
461	109141	8976
462	109380	8740
463	109623	8505
464	109884	8270
465	110190	8039
466	110449	7804
467	110730	7571
468	110974	7335
469	111263	7101
470	111523	6866
471	111795	6631
472	112096	6398
473	112390	6164
474	112641	5928
475	112906	5692
476	113162	5456
477	113463	5222
478	113679	4983
479	113892	4745
480	114067	4505
481	114381	4271
482	114598	4033
483	114862	3797
484	115113	3560
485	115355	3322
486	115632	3086
487	115875	2849
488	116122	2612
489	116371	2374
490	116586	2137
491	116822	1899
492	117130	1663
493	117357	1425
494	117645	1188
495	117886	950
496	118095	712
497	118341	475
498	118536	237
499	118777	0
