iter	Logloss
0	0.4257943265
1	0.3420246516
2	0.3086956692
3	0.2944005417
4	0.2865771687
5	0.2824061657
6	0.2800897067
7	0.2777914195
8	0.2763479156
9	0.2756789923
10	0.2751505308
11	0.274542647
12	0.2742390469
13	0.2738572071
14	0.2735523417
15	0.2732569143
16	0.2729431226
17	0.2728126935
18	0.2727002225
19	0.2725573182
20	0.2724751642
21	0.2723467704
22	0.2721539221
23	0.2720209336
24	0.2719268485
25	0.271857606
26	0.2717536574
27	0.2717286793
28	0.2716487705
29	0.2715681368
30	0.2715284799
31	0.2714886562
32	0.2714224844
33	0.271328438
34	0.2712630657
35	0.2712151356
36	0.2711462216
37	0.2711086365
38	0.2710799501
39	0.2710459293
40	0.2710113766
41	0.270906366
42	0.2708248984
43	0.2708057757
44	0.2707856984
45	0.2707608394
46	0.2707207025
47	0.2706894126
48	0.2706407988
49	0.2706165384
50	0.2705887836
51	0.2705634838
52	0.2705274879
53	0.2704838404
54	0.2704528428
55	0.2704274824
56	0.2704127856
57	0.2703913976
58	0.2703480254
59	0.2703195267
60	0.2702762681
61	0.2702534212
62	0.2702342448
63	0.2702036852
64	0.2701757567
65	0.2701370085
66	0.2701189031
67	0.270090087
68	0.2700771129
69	0.2700550152
70	0.2700264584
71	0.2700109274
72	0.26999162
73	0.2699683984
74	0.2699588415
75	0.2699356507
76	0.2699189297
77	0.2698664152
78	0.2698386459
79	0.2698226668
80	0.2697973791
81	0.2697679493
82	0.2697277051
83	0.2696986099
84	0.2696854863
85	0.269674868
86	0.2696649773
87	0.2696514723
88	0.2696297214
89	0.2696211737
90	0.2695981537
91	0.2695788999
92	0.2695610183
93	0.2695388153
94	0.269530782
95	0.2695090651
96	0.2694994098
97	0.2694910346
98	0.2694604125
99	0.2694455845
100	0.2694388796
101	0.2694212904
102	0.2694006707
103	0.2693882619
104	0.2693671655
105	0.2693469634
106	0.2693363164
107	0.2693224902
108	0.2693081642
109	0.2692917459
110	0.2692844567
111	0.2692709347
112	0.2692553799
113	0.2692460429
114	0.269223824
115	0.2692064442
116	0.2692020258
117	0.2691910486
118	0.2691777619
119	0.2691710994
120	0.2691541861
121	0.2691452694
122	0.2691375461
123	0.2691284839
124	0.2691183497
125	0.2691060995
126	0.2690989573
127	0.2690893945
128	0.2690744943
129	0.2690617868
130	0.2690538399
131	0.2690477134
132	0.2690324219
133	0.2690179863
134	0.2690127145
135	0.2690069277
136	0.2689923607
137	0.2689871793
138	0.268980812
139	0.2689746108
140	0.2689673708
141	0.2689604963
142	0.2689518281
143	0.2689398515
144	0.2689258386
145	0.268918367
146	0.2689112998
147	0.2688940137
148	0.2688867747
149	0.2688810604
150	0.2688683564
151	0.2688576016
152	0.2688179623
153	0.2688089191
154	0.2688035221
155	0.2687968965
156	0.2687914411
157	0.2687817789
158	0.2687715112
159	0.2687609342
160	0.2687427002
161	0.2687339599
162	0.268725944
163	0.2687167015
164	0.2687109328
165	0.2687006904
166	0.2686938592
167	0.2686850714
168	0.2686779704
169	0.2686683092
170	0.2686599793
171	0.2686520481
172	0.2686458512
173	0.2686318815
174	0.2686260954
175	0.268622114
176	0.2686099932
177	0.2686050086
178	0.2686000366
179	0.2685957766
180	0.2685926562
181	0.2685858309
182	0.2685791838
183	0.2685735266
184	0.2685651341
185	0.268562778
186	0.2685591365
187	0.2685527539
188	0.2685462351
189	0.268536256
190	0.2685290725
191	0.2685228734
192	0.2685153586
193	0.2685010609
194	0.2684930819
195	0.2684856734
196	0.2684822357
197	0.2684731852
198	0.2684645836
199	0.2684553589
